School_ID,District,Location_Type,Infrastructure_Score,Electricity_Access,Internet_Access,Library_Status
SCH001,Bhaktapur,Rural,2.0,N,N,N
SCH002,Lalitpur,Rural,2.0,Y,N,N
SCH003,Kathmandu,Rural,3.0,N,Y,N
SCH004,Nuwakot,Rural,3.0,N,N,Y
SCH005,Bhaktapur,Urban,4.0,Y,Y,Y
SCH006,Kathmandu,Urban,4.0,Y,N,Y
SCH007,Rasuwa,Urban,4.0,Y,Y,Y
SCH008,Nuwakot,Rural,3.0,Y,N,Y
SCH009,Rasuwa,Rural,1.0,Y,Y,Y
SCH010,Dhading,Rural,1.0,Y,N,Y
SCH011,Bhaktapur,Urban,4.0,Y,Y,Y
SCH012,Lalitpur,Rural,4.0,N,Y,N
SCH013,Rasuwa,Rural,2.0,N,Y,Y
SCH014,Nuwakot,Urban,2.0,Y,N,Y
SCH015,Kathmandu,Urban,3.0,Y,Y,Y
SCH016,Kathmandu,Urban,4.0,Y,N,N
SCH017,Kathmandu,Rural,3.0,N,N,N
SCH018,Nuwakot,Rural,2.0,N,N,Y
SCH019,Sindhupalchok,Rural,2.0,Y,Y,N
SCH020,Kathmandu,Urban,4.0,Y,Y,Y
SCH021,Lalitpur,Rural,2.0,N,N,Y
SCH022,Kathmandu,Urban,3.0,Y,Y,Y
SCH023,Sindhupalchok,Urban,4.0,Y,Y,N
SCH024,Nuwakot,Rural,2.0,N,Y,N
SCH025,Nuwakot,Rural,3.0,Y,N,Y
SCH026,Lalitpur,Rural,2.0,N,N,N
SCH027,Lalitpur,Urban,4.0,Y,Y,Y
SCH028,Kathmandu,Rural,2.0,Y,N,N
SCH029,Kathmandu,Rural,3.0,Y,Y,N
SCH030,Nuwakot,Urban,3.0,Y,Y,Y
SCH031,Nuwakot,Rural,2.0,Y,N,N
SCH032,Sindhupalchok,Urban,3.0,Y,Y,Y
SCH033,Sindhupalchok,Urban,5.0,Y,N,Y
SCH034,Lalitpur,Rural,3.0,Y,N,Y
SCH035,Dhading,Rural,2.0,N,N,Y
SCH036,Rasuwa,Rural,1.0,Y,N,Y
SCH037,Nuwakot,Rural,1.0,N,N,Y
SCH038,Kathmandu,Urban,4.0,Y,Y,Y
SCH039,Lalitpur,Rural,2.0,Y,Y,N
SCH040,Kathmandu,Rural,2.0,N,Y,Y
SCH041,Sindhupalchok,Urban,3.0,Y,N,Y
SCH042,Bhaktapur,Rural,3.0,Y,N,Y
SCH043,Kathmandu,Urban,5.0,Y,Y,Y
SCH044,Bhaktapur,Rural,3.0,Y,Y,N
SCH045,Bhaktapur,Urban,3.0,Y,Y,Y
SCH046,Kathmandu,Rural,1.0,N,N,N
SCH047,Kathmandu,Rural,2.0,Y,N,N
SCH048,Bhaktapur,Rural,2.0,Y,N,Y
SCH049,Lalitpur,Rural,1.0,Y,N,N
SCH050,Dhading,Urban,3.0,Y,Y,Y
SCH051,Lalitpur,Rural,3.0,N,N,Y
