Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0001,SCH238,Nepali,Basic,13.962836310818153,11.063508274612548
TCH0002,SCH399,Science,Advanced,6.417624930467028,30.540459261909994
TCH0003,SCH090,Nepali,Basic,13.938335693787504,27.92374272558893
TCH0004,SCH167,Social Studies,Basic,8.936980808638303,27.215635233799958
TCH0005,SCH037,English,Advanced,1.0,18.505236884555075
TCH0006,SCH357,English,Advanced,16.155730367018343,11.67063972342941
TCH0007,SCH222,English,Basic,8.212921892069154,24.791980125271273
TCH0008,SCH390,Science,Basic,10.763506600401811,36.87811397366386
TCH0009,SCH273,Math,Basic,2.8291956240051412,29.29459777734576
TCH0010,SCH246,Social Studies,Advanced,6.949550245591481,26.382778642799778
TCH0011,SCH247,Nepali,Advanced,9.352350466823566,25.051612807680474
TCH0012,SCH036,Social Studies,Advanced,1.3341955248639943,25.446132097443673
TCH0013,SCH281,Math,Basic,10.090704368464209,27.304081620733697
TCH0014,SCH152,English,Basic,12.224357192476399,11.46647585900752
TCH0015,SCH106,Social Studies,Advanced,1.2803129419737096,5.447055961899364
TCH0016,SCH369,English,Advanced,20.53247359575728,10.70125693384077
TCH0017,SCH241,Math,Basic,6.013842034586452,32.20934666749591
TCH0018,SCH353,Social Studies,Advanced,15.536907175518301,26.25970554654697
TCH0019,SCH288,English,Basic,10.2039665177851,25.48911633796006
TCH0020,SCH221,English,Advanced,6.190350984830726,27.059213790154562
TCH0021,SCH093,English,Basic,7.0862786441128,27.186369418502377
TCH0022,SCH463,Science,Basic,1.0,26.399000100338718
TCH0023,SCH372,Math,Basic,13.661199009335784,10.168546978487992
TCH0024,SCH025,Nepali,Advanced,10.785524395673807,17.687682988353608
TCH0025,SCH367,Social Studies,Basic,5.293972567664764,23.121996637557626
TCH0026,SCH397,Social Studies,Basic,3.1856028559604437,26.10155588190155
TCH0027,SCH308,Social Studies,Basic,9.734568125120898,28.166993260067024
TCH0028,SCH349,Science,Advanced,6.830355062794551,19.56981419351235
TCH0029,SCH219,Science,Advanced,18.660525619457253,29.165574162050536
TCH0030,SCH192,Science,Advanced,12.656983736421898,15.000546629856224
TCH0031,SCH236,Social Studies,Basic,2.738972770696429,27.03093855137264
TCH0032,SCH078,Math,Advanced,15.752093291299936,8.662539852418911
TCH0033,SCH238,English,Basic,10.316544558745466,11.057138245293823
TCH0034,SCH141,Nepali,Basic,6.309112361947832,35.02583126498108
TCH0035,SCH414,Social Studies,Basic,5.360944074944338,15.62915108106701
TCH0036,SCH206,English,Basic,12.521272466026145,8.746300295475498
TCH0037,SCH186,Math,Basic,3.741264312660918,28.882705630981075
TCH0038,SCH042,Math,Basic,8.79108253414909,18.065672415125263
TCH0039,SCH285,Social Studies,Basic,3.8780132480485356,21.47871224642895
TCH0040,SCH137,Nepali,Basic,7.466537666610442,34.773772634303995
TCH0041,SCH366,Nepali,Basic,7.719092610328016,24.953311015225406
TCH0042,SCH070,Nepali,Basic,11.587219694231063,27.983414126216203
TCH0043,SCH320,Nepali,Advanced,14.144754251290344,8.176533043954418
TCH0044,SCH186,Nepali,Advanced,8.960727298963478,29.06929667124609
